entry,accessPath,depth,isConstructor,isAsync,hasDocComment,snippets_native,snippets_docs,signature,implLength,implGroupSize
mini,zod-mini.z.core.$ZodTuple,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.core.$ZodTuple.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.core.$ZodType,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.core.$ZodType.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.core.$ZodULID,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.core.$ZodULID.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.core.$ZodURL,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.core.$ZodURL.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.core.$ZodUUID,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.core.$ZodUUID.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.core.$ZodUndefined,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.core.$ZodUndefined.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.core.$ZodUnion,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.core.$ZodUnion.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.core.$ZodUnknown,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.core.$ZodUnknown.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.core.$ZodVoid,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.core.$ZodVoid.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.core.$ZodXID,3,False,False,False,0,0,(def),280,158
mini,zod-mini.z.core.$ZodXID.init,4,False,False,False,0,0,"(inst, def)",568,158
mini,zod-mini.z.core.$constructor,3,False,False,False,0,0,"(name, initializer, params)",1491,1
mini,zod-mini.z.core.Doc,3,True,False,False,0,0,(args = []),1080,1
mini,zod-mini.z.core.Doc.prototype.compile,5,False,False,False,0,0,(),273,1
mini,zod-mini.z.core.Doc.prototype.indented,5,False,False,False,0,0,(fn),90,1
mini,zod-mini.z.core.Doc.prototype.write,5,False,False,False,0,0,(arg),554,1
mini,zod-mini.z.core.JSONSchemaGenerator,3,True,False,False,0,0,(params),31725,1
mini,zod-mini.z.core.JSONSchemaGenerator.prototype.emit,5,False,False,False,0,0,"(schema, _params)",7828,1
mini,zod-mini.z.core.JSONSchemaGenerator.prototype.process,5,False,False,False,0,0,"(schema, _params = { path: [], schemaPath: [] })",23462,1
mini,zod-mini.z.core.config,3,False,False,False,0,7,(newConfig),138,1
mini,zod-mini.z.core.flattenError,3,False,False,False,0,1,"(error, mapper = (issue)",445,1
mini,zod-mini.z.core.formatError,3,False,False,False,0,0,"(error, _mapper)",1497,1
mini,zod-mini.z.core.function,3,False,False,False,0,8,(params),405,1
mini,zod-mini.z.core.isValidBase64,3,False,False,False,0,0,(data),224,1
